espacialidades,nd,ev,mi,ps60,ql,pib,rp,gi,p,vp,fc18,sc25,eae,t18,pda,pdba,pdcl
Angra dos Reis,Outros,75.75,12.97,83.19,1.4261707521102645,4540721.53301557,798.68,0.5,6.69,21.42,55.41,7.42,9.0,5.43,92.49,95.45,99.26
Aperibé,C.Vicioso,72.1,18.4,77.85,1.1130994852579565,40775.6429497641,516.14,0.43,9.4,29.72,51.36,5.94,8.95,11.06,96.84,99.52,97.07
Araruama,Outros,75.32,14.18,82.88,0.40966316134328545,564396.349424973,680.88,0.54,11.6,32.86,55.57,10.27,8.84,7.84,96.08,94.42,95.64
Areal,C.Vicioso,74.35,15.0,81.22,0.32642065957418065,87421.537111369,571.74,0.48,11.13,32.21,46.76,6.24,9.21,7.77,85.66,98.2,98.57
Armação dos Búzios,C.Vicioso,74.44,14.8,81.36,0.05465638656166793,575133.521476251,851.39,0.51,3.69,17.24,58.03,11.25,9.09,4.83,83.53,96.31,98.55
Arraial do Cabo,Outros,73.31,16.5,79.68,0.2896647560256853,159373.943611518,714.47,0.47,6.93,23.61,62.72,10.55,9.49,4.8,93.91,93.31,99.79
Barra do Piraí,C.Vicioso,74.14,15.3,80.92,1.1972906681254323,618805.165958709,719.16,0.51,8.48,24.18,60.6,9.85,9.15,4.72,94.55,96.72,98.9
Barra Mansa,C.Vicioso,74.14,14.91,80.77,0.9639932386188452,1430281.07186912,705.1,0.48,5.94,23.04,58.19,8.9,9.42,4.15,96.83,98.83,99.51
Belford Roxo,C.Vicioso,73.5,16.54,80.94,0.4839242658772017,1993418.8329262,491.51,0.42,11.55,33.24,54.9,3.42,8.88,5.25,94.35,88.53,88.07
Bom Jardim,C.Vicioso,73.56,16.1,80.05,1.9332345819300851,158996.448934058,649.62,0.48,8.43,26.21,36.54,6.68,8.25,11.35,84.01,98.05,99.47
Bom Jesus do Itabapoana,C.Vicioso,74.16,15.2,80.95,0.5499656072320914,181479.526879779,717.69,0.56,10.53,34.01,53.83,11.41,9.45,10.35,96.3,99.12,98.77
Cabo Frio,Outros,75.16,15.41,83.06,0.2588893659967734,2923365.60816681,815.75,0.54,8.73,25.76,60.62,12.08,8.61,5.3,90.22,87.62,99.13
Cachoeiras de Macacu,C.Vicioso,74.01,16.43,81.1,0.9194731795604654,412117.387361416,604.45,0.49,10.38,31.73,51.47,7.13,8.73,9.91,88.76,95.05,96.77
Cambuci,C.Vicioso,73.51,16.2,79.99,0.7149615775422424,71522.2558702068,524.88,0.47,11.39,34.86,44.92,5.69,9.5,13.34,89.49,96.74,97.11
Campos dos Goytacazes,C.Vicioso,74.82,14.72,82.08,0.6074483419899912,11294717.1317496,682.59,0.55,13.49,35.04,55.5,10.38,8.5,7.21,97.44,91.54,98.65
Cantagalo,C.Vicioso,74.29,15.1,81.13,1.4908900009239634,251415.721743986,641.61,0.48,8.6,29.48,49.79,7.07,8.73,10.02,93.85,94.52,99.02
Carapebus,C.Vicioso,73.3,16.5,79.68,0.013520206343832507,499456.049688153,620.35,0.42,6.2,24.25,54.56,4.23,9.07,9.02,94.7,84.25,96.97
